No., BCV ,Position,Player,Team, Price , Weighted minutes , Weighted UPPM , PPG - longer term ,Fixture ratio,3,4,5,6,7,8,9,10,Sum
88, 0.08 ,D,Smith,BOU, 4.5 ,,,,, 2.06 , 2.29 , 1.57 , 1.29 , 2.31 , 1.30 , 2.01 , 1.86 , 14.70 
89, 0.07 ,D,Alderete,SUN, 5.0 ,,,,, 1.40 , 1.89 , 1.62 , 2.41 , 2.20 , 2.62 , 2.53 , 1.94 , 16.60 
90, 0.35 ,D,De Cuyper,BRI, 4.7 ,,,,, 4.82 , 4.58 , 2.90 , 3.36 , 3.35 , 1.74 , 1.51 , 2.30 , 24.57 
91, 0.22 ,D,Konsa,ARS, 4.4 ,,,,, 2.84 , 3.34 , 2.81 , 3.49 , 2.94 , 2.94 , 1.94 , 2.91 , 23.21 
92, 0.10 ,D,Aina,NOT, 4.5 ,,,,, 2.98 , 1.97 , 2.17 , 1.73 , 1.37 , 1.76 , 1.44 , 1.29 , 14.71 
93, 0.08 ,D,Norton-Cuffy,HUL, 4.0 ,,,,, 2.17 , 1.29 , 1.61 , 2.23 , 1.90 , 1.90 , 2.44 , 0.98 , 14.53 
94, 0.04 ,D,Danso,SUN, 5.0 ,,,,, 0.43 , 1.16 , 1.18 , 1.82 , 1.76 , 2.01 , 1.97 , 1.54 , 11.86 
95, 0.10 ,D,Diouf,BRE, 4.5 ,,,,, 2.05 , 1.88 , 2.16 , 2.33 , 2.00 , 3.03 , 2.61 , 2.02 , 18.09 
96, 0.06 ,D,Livramento,NEW, 4.9 ,,,,, 0.13 , 1.56 , 2.56 , 2.19 , 1.97 , 1.90 , 2.10 , 1.81 , 14.23 
97, 0.04 ,D,Meunier,SUN, 4.5 ,,,,, 1.71 , 1.27 , 0.92 , 1.28 , 1.16 , 1.39 , 1.52 , 1.10 , 10.36 
98, 0.08 ,D,Jair Cunha,NOT, 4.5 ,,,,, 2.53 , 1.69 , 2.25 , 1.72 , 1.37 , 1.68 , 1.49 , 1.43 , 14.16 
99, 0.01 ,D,Yoro,MUN, 4.9 ,,,,, 0.69 , 0.65 , 0.76 , 0.76 , 0.77 , 0.87 , 0.65 , 0.93 , 6.07 
100, 0.05 ,D,Robertson,TOT, 4.5 ,,,,, 1.76 , 1.52 , 1.54 , 1.12 , 1.85 , 1.06 , 1.71 , 1.37 , 11.94 
101, 0.04 ,D,Sanchez,BOU, 4.5 ,,,,, 0.68 , 1.16 , 1.32 , 1.11 , 1.87 , 1.17 , 1.81 , 1.73 , 10.85 
102, 0.04 ,D,Sessegnon,FUL, 4.5 ,,,,, 1.27 , 0.92 , 1.26 , 1.54 , 1.91 , 1.58 , 1.35 , 1.64 , 11.47 
103, 0.04 ,D,Araujo,LIV, 5.4 ,,,,, 1.44 , 1.63 , 1.36 , 1.28 , 1.40 , 1.67 , 1.34 , 1.65 , 11.77 
104, 0.10 ,D,Justin,LEE, 4.5 ,,,,, 2.43 , 2.43 , 2.53 , 1.54 , 1.94 , 2.34 , 1.93 , 2.08 , 17.22 
105, 0.03 ,D,De Ligt,MUN, 5.0 ,,,,, -   , 0.12 , 0.98 , 2.11 , 2.10 , 2.32 , 1.61 , 2.34 , 11.59 
106, 0.06 ,D,Mazraoui,MUN, 4.5 ,,,,, 1.63 , 1.34 , 1.67 , 1.66 , 1.61 , 1.63 , 1.16 , 1.71 , 12.41 
107, 0.13 ,D,Elvedi,LEE, 4.5 ,,,,, 2.88 , 2.65 , 2.77 , 1.76 , 2.19 , 2.77 , 2.11 , 1.96 , 19.08 
108, 0.04 ,D,Mosquera,ARS, 5.5 ,,,,, 1.35 , 1.49 , 1.43 , 1.30 , 1.24 , 1.33 , 0.95 , 1.25 , 10.33 
109, 0.03 ,D,Wan-Bissaka,AVL, 4.5 ,,,,, 1.33 , 1.11 , 0.91 , 1.15 , 0.95 , 0.92 , 1.34 , 0.87 , 8.57 
110, 0.01 ,D,Senesi,TOT, 5.9 ,,,,, 0.62 , 0.85 , 0.89 , 0.79 , 1.34 , 0.83 , 1.26 , 1.20 , 7.76 
111, 0.01 ,D,Herrington,HUL, 4.0 ,,,,, 0.79 , 0.58 , 0.77 , 0.91 , 0.85 , 0.77 , 0.89 , 0.53 , 6.09 
112, 0.00 ,D,Struijk,BRI, 5.0 ,,,,, 0.63 , 0.73 , 0.61 , 0.67 , 0.77 , 0.54 , 0.53 , 0.80 , 5.28 
113, 0.05 ,D,Matheus N.,MCI, 5.9 ,,,,, 1.47 , 1.33 , 2.08 , 1.39 , 2.15 , 1.79 , 1.94 , 1.92 , 14.09 
114, 0.02 ,D,Pinnock,COV, 4.5 ,,,,, 0.55 , 1.02 , 1.02 , 1.12 , 1.02 , 1.34 , 1.43 , 1.30 , 8.81 
115, 0.08 ,D,Hato,CHE, 4.5 ,,,,, 1.50 , 2.50 , 1.65 , 2.12 , 1.86 , 1.95 , 1.74 , 2.17 , 15.50 
116, 0.03 ,D,Hincapie,ARS, 5.4 ,,,,, 0.88 , 1.21 , 1.18 , 1.54 , 1.41 , 1.67 , 1.16 , 2.00 , 11.05 
117, 0.03 ,D,Tomiyasu,CPL, 4.5 ,,,,, 1.16 , 1.07 , 0.94 , 1.18 , 0.93 , 1.16 , 1.07 , 1.00 , 8.51 
118, (0.00),D,Gomez,LIV, 5.0 ,,,,, -   , 0.51 , 0.70 , 0.72 , 0.78 , 0.93 , 0.80 , 0.97 , 5.40 
119, 0.01 ,D,Coyle,HUL, 4.0 ,,,,, 0.91 , 0.51 , 0.66 , 0.91 , 0.80 , 0.91 , 1.10 , 0.54 , 6.34 
120, (0.00),D,Keane,EVE, 4.9 ,,,,, 0.39 , 0.43 , 0.61 , 0.70 , 0.57 , 0.54 , 0.65 , 0.91 , 4.80 
121, (0.00),D,Heaven,MUN, 4.5 ,,,,, 0.52 , 0.55 , 0.63 , 0.48 , 0.50 , 0.55 , 0.43 , 0.61 , 4.27 
122, (0.00),D,Acheampong,CHE, 4.5 ,,,,, 0.48 , 0.60 , 0.48 , 0.60 , 0.58 , 0.64 , 0.64 , 0.76 , 4.77 
123, 0.00 ,D,Hickey,BRE, 4.5 ,,,,, 0.68 , 0.55 , 0.59 , 0.63 , 0.59 , 0.75 , 0.80 , 0.66 , 5.25 
124, 0.03 ,D,Ouattara,IPS, 4.0 ,,,,, 0.70 , 0.99 , 1.19 , 1.59 , 0.71 , 1.48 , 1.72 , 1.41 , 9.79 
125, 0.00 ,D,Schär,NEW, 5.0 ,,,,, 0.78 , 0.50 , 0.69 , 0.62 , 0.56 , 0.64 , 0.80 , 0.72 , 5.30 
126, 0.01 ,D,Tsimikas,LIV, 5.0 ,,,,, 0.92 , 0.98 , 0.81 , 0.71 , 0.83 , 0.98 , 0.81 , 1.05 , 7.10 
127, (0.00),D,Mings,AVL, 4.5 ,,,,, 0.59 , 0.46 , 0.45 , 0.63 , 0.55 , 0.55 , 0.75 , 0.55 , 4.53 
128, 0.03 ,D,Costinha,BRI, 4.5 ,,,,, 1.52 , 1.28 , 0.93 , 1.05 , 0.83 , 0.44 , 0.31 , 0.52 , 6.89 
129, (0.01),D,Henry,BRE, 4.5 ,,,,, 0.46 , 0.35 , 0.32 , 0.32 , 0.33 , 0.41 , 0.46 , 0.38 , 3.03 
130, (0.00),D,Burn,NEW, 4.9 ,,,,, -   , 0.36 , 0.80 , 0.84 , 0.79 , 0.93 , 0.95 , 0.96 , 5.63 
131, 0.00 ,D,Methalie,SUN, 4.5 ,,,,, 0.41 , 0.44 , 0.46 , 0.84 , 0.71 , 0.95 , 0.90 , 0.80 , 5.49 
132, (0.01),D,Savona,NOT, 4.5 ,,,,, -   , -   , -   , 0.21 , 0.30 , 0.57 , 0.47 , 0.47 , 2.03 
133, (0.01),D,Furlong,IPS, 4.0 ,,,,, 0.27 , 0.29 , 0.25 , 0.32 , 0.19 , 0.33 , 0.36 , 0.37 , 2.38 
134, 0.02 ,D,Mingueza,CPL, 4.4 ,,,,, 0.71 , 0.92 , 0.80 , 0.98 , 0.82 , 1.03 , 0.86 , 0.89 , 7.02 
135, (0.00),D,Hadjam,BRI, 4.5 ,,,,, 0.54 , 0.62 , 0.56 , 0.75 , 0.72 , 0.40 , 0.42 , 0.62 , 4.62 
136, 0.00 ,D,Diakite,BOU, 5.0 ,,,,, 0.40 , 0.64 , 0.64 , 0.59 , 0.97 , 0.76 , 1.05 , 1.11 , 6.16 
137, (0.00),D,Targett,HUL, 4.0 ,,,,, 0.50 , 0.32 , 0.45 , 0.63 , 0.58 , 0.60 , 0.75 , 0.36 , 4.18 
138, (0.00),D,Aït-Nouri,MCI, 5.4 ,,,,, 0.55 , 0.35 , 0.55 , 0.48 , 0.67 , 0.64 , 0.75 , 0.75 , 4.75 
139, (0.01),D,Davies,TOT, 4.0 ,,,,, 0.14 , 0.19 , 0.18 , 0.16 , 0.28 , 0.18 , 0.26 , 0.24 , 1.63 
140, (0.00),D,Netz,NOT, 4.5 ,,,,, 0.33 , 0.33 , 0.44 , 0.47 , 0.39 , 0.52 , 0.45 , 0.47 , 3.39 
